"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030105",6986.14513731601,0.151931006078531,0.0525851127453138,2.88923990358984,0.00386174329614194,0.029014488463173
"ENSMUSG00000096054",1854.95722800637,-0.0398559942341848,0.0867293511144991,-0.459544476258878,0.645843220844215,0.839198641301022
"ENSMUSG00000020495",637.593956979409,0.0921783861437147,0.0637633888810435,1.44563185491414,0.148280486997672,0.378513952150029
"ENSMUSG00000058979",275.92260492221,0.00205394494115166,0.0875047887663398,0.0234723718565417,0.981273476476045,0.994167437350335
"ENSMUSG00000045903",7.72295623789155,-1.08933699603211,0.453536858807206,-2.40187092819103,0.0163114626345997,0.0847095283447155
"ENSMUSG00000038045",27.4995159643901,-0.108398177709569,0.270913898897236,-0.400120400432784,0.6890678391464,0.863005644013949
"ENSMUSG00000049536",16.9014515722111,0.19542578125395,0.294303709553247,0.664027584125959,0.506672656564131,0.750186694011045
"ENSMUSG00000027333",1201.8923862088,-0.620319746523506,0.140118528082346,-4.42710721425043,9.55052682175848e-06,0.000213687778536173
"ENSMUSG00000085586",663.873285611019,0.0366156968785527,0.0627840485705102,0.583200633158136,0.559758244992754,0.788195603836152
"ENSMUSG00000025237",285.406387672339,-0.0672681668260745,0.0700819671410698,-0.959849866809084,0.337130780714639,0.605799928248836
"ENSMUSG00000006299",2300.78329093935,0.0643968585408398,0.0392700054303345,1.63984847557713,0.101036676152885,0.298443703141647
"ENSMUSG00000036792",397.673827423363,-0.150008189361159,0.105661340528184,-1.41970742195104,0.155692876486665,0.388836643013821
"ENSMUSG00000021287",461.208473860907,-0.255893168418741,0.105747910929929,-2.41984135826854,0.015527279456918,0.081836443128696
"ENSMUSG00000106962",5.4723154956699,-0.245045059406126,0.554712270136426,-0.441751647833316,0.658668931175872,0.84545220809413
"ENSMUSG00000041241",2500.43218424995,-0.00915912483808223,0.0334835542994614,-0.273540997355515,0.784437382196896,0.91158660603819
"ENSMUSG00000021368",212.040386813174,-0.0382604221849835,0.0885874522949705,-0.431894373230052,0.665818184499883,0.849315335054392
"ENSMUSG00000041607",1411.56949371951,-0.104480245892933,0.0451036820004009,-2.31644604739818,0.020533927029505,0.100512092381439
"ENSMUSG00000109864",119.991662270465,-0.1732814825485,0.135073295781975,-1.28287002656838,0.199537615463227,0.450022890292064
"ENSMUSG00000001053",105.182056240492,-0.364108698531282,0.114536303405097,-3.17898070486425,0.00147793929072221,0.0140658094770358
"ENSMUSG00000030374",2013.01631909485,-0.0699429466730301,0.0426976333367194,-1.63809891104386,0.101401062127826,0.299080136206288
"ENSMUSG00000085787",4.91500597820488,0.957060260254627,0.632630786320607,1.51282593409801,0.130323879414186,NA
"ENSMUSG00000034297",2418.09290286402,-0.0319199211170376,0.0361005911500389,-0.884193862210569,0.376591571086527,0.642711219606341
"ENSMUSG00000032298",127.012280446176,0.0254492571377069,0.105995782962512,0.240096883351554,0.810255150284132,0.924288710251359
"ENSMUSG00000022594",26.066734923542,0.353763867361984,0.224530879558887,1.57556888414185,0.115125191792692,0.324865762393249
"ENSMUSG00000038459",1237.12199130016,-0.18808120138988,0.0713049424936052,-2.637702167795,0.00834698550675265,0.0521883537818589
"ENSMUSG00000001441",1615.95598851301,0.000495961546599034,0.0392788439313815,0.0126266839081481,0.989925631554305,0.997150587859821
"ENSMUSG00000030754",2767.83370608271,0.0404752911370302,0.0376955083415514,1.07374307756488,0.282937848503064,0.551435660992733
"ENSMUSG00000087611",4.45367867788959,1.06642773875684,0.585473970507066,1.82147762749081,0.0685342844884098,NA
"ENSMUSG00000078851",106.908111816878,0.602523327954923,0.140734756686468,4.28126883607892,1.85830696462862e-05,0.000383180708142616
"ENSMUSG00000039395",28.7487906535047,0.0382151332715974,0.236038802952772,0.161901911014367,0.871383097903115,0.952064832178081
"ENSMUSG00000033186",640.948294669734,-0.0299841531329921,0.0659145841611711,-0.454894065017179,0.649185452882323,0.841201199133284
"ENSMUSG00000026577",450.534007187304,0.0767996185541751,0.0652261240458534,1.17743649002025,0.239021332607326,0.500272781203238
"ENSMUSG00000034639",63.302211464408,0.340908525179611,0.163136297769644,2.08971596046019,0.0366433224204387,0.151039508788255
"ENSMUSG00000030888",559.249275780623,0.0856909883147581,0.0637658853641589,1.34383750535867,0.179000938467261,0.422227581189722
"ENSMUSG00000015247",1387.12108757995,-0.0232378240272521,0.0419994672127437,-0.553288543150881,0.58006584490079,0.800448640777192
"ENSMUSG00000048603",9.10034720866837,-0.192274642326651,0.431222802593662,-0.445882363293831,0.655682222701935,0.844817584901223
"ENSMUSG00000104642",4.24296599316542,-0.0585717094646279,0.597717863886908,-0.0979922351387344,0.921938459154727,NA
"ENSMUSG00000032059",743.838348874314,0.187351367701441,0.054145656491972,3.46013659893882,0.000539901429383153,0.00632806006116238
"ENSMUSG00000033147",158.885246703381,-0.139660595833904,0.111949719104176,-1.24752966734951,0.212203349127372,0.467178504645826
"ENSMUSG00000009739",404.826078038808,-0.00169275901229421,0.0730975253440892,-0.0231575419868997,0.981524606102571,0.994182704459541
"ENSMUSG00000031629",38.1531689761476,-0.232592410036531,0.270904688401788,-0.858576539995369,0.390574185819884,0.657588825341168
"ENSMUSG00000037266",5744.58588177156,-0.0248035319151451,0.0571118384369064,-0.434297557108872,0.664072377577137,0.84801129878837
"ENSMUSG00000006782",110.052752986538,0.0350607028788852,0.126575651309733,0.276994054670838,0.781784671292979,0.910568188082183
"ENSMUSG00000105139",14.481438304075,-0.00131447524588237,0.291947302260402,-0.00450244011746315,0.996407584681895,0.998904702748186
